n,brh,Brahui,,,,,,Andronov 1980,,i,,,,,,,,,,i,,,
n,bur,Burushaski,,,,,,"Berger 1998: 142, 160-161",,i,,,,,,,,,,,,,
n,ala,Alamblak,,,,,,Bruce 1984: 133,,,i,i,i; the same day but earlier,i; on day before the present,i; two days before or earlier,,,,,,,,
n,abi,Abipón,,,,,,Bybee et al. 1994,,n,n,i,,,,,,,,,,,
n,bng,Baining,,,,,,Bybee et al. 1994,supplmented with Stebbins 2011,i,i,i,,,,,,,,,,,
n,brm,Burmese,,,,,,Bybee et al. 1994,,,,i,,,,,,,,,i,,
n,bui,Buli (in Indonesia),,,,,,Bybee et al. 1994,,n,,i,,,,,,,,,,,
n,cnt,Cantonese,,,,,,Bybee et al. 1994,,n,,p,,,,,,,,,,,
n,cpn,Chepang,,,,,,Bybee et al. 1994,,n,,i,,,,,,,,,,,
n,kro,Krongo,,,,,,Bybee et al. 1994,,n,,p,,,,,,p;immediate future,,,,,
n,man,Mano,,,,,,Bybee et al. 1994,,n,,p,,,,,,,,,,,
n,mrg,Margi,,,,,,Bybee et al. 1994,,n,,p,,,,,,p;immediate future,,,,,
n,tem,Tem,,,,,,Bybee et al. 1994,,n,i,p,,,,,,,,,,,
n,toj,Tojolabal,,,,,,Bybee et al. 1994,,n,,p,,,,,,,,,,,
n,ygr,Yagaria,,,,,,Bybee et al. 1994,,n,,i,,,,,,,,,,,
n,abk,Abkhaz,,,,,,Bybee et al. 1994: 142,,i,i,,,,,,,,,,,,
n,bsq,Basque,,,,,,"Bybee et al. 1994: 142, 338",,i,p,i,,,,,,,,,,,
n,hal,Halia,,,,,,"Bybee et al. 1994: 142, 338",,,,,i; hodiernal the situation occurred on the same day as the speech event,i; pre-hodiernal the situation occurred before the today of the speech event,,,,,,,,,
n,kui,Kui (in India),,,,,,"Bybee et al. 1994: 142, 338",,i,,,,,,,,,,,,,
n,tah,Tahitian,,,,,,"Bybee et al. 1994: 142, 338",,i,,,,,,,,,,,,,
n,knk,Kanakuru,,,,,,"Bybee et al. 1994: 142, 338,",,i,,,,,,,,,,,,,
n,bon,Bongu,,,,,,"Bybee et al. 1994: 254, 351",,,i,,,,i; ancient the situation occurred in ancient or mythic times,,,,,,,,
n,aly,Alyawarra,,,,,,"Bybee et al. 1994: 82, 331",,i,i,,,,,,,,,,,,
n,atc,Atchin,,,,,,"Bybee et al. 1994: 82, 331",,p,i,p,,,,,,,,,,,
n,awn,Awngi,,,,,,"Bybee et al. 1994: 82, 331",,i,,,,,,,,,,,,,
n,cyn,Cheyenne,,,,,,"Bybee et al. 1994: 82, 331",,i,,,,,"i; remote the situation occurred long ago, in the distant past",,,,,,,,
n,jiv,Jivaro,,,,,,"Bybee et al. 1994: 82, 331",,i,,,,,,,,,,,,,
n,kya,Kuku-Yalanji,,,,,,"Bybee et al. 1994: 82, 331",,i,,,,,,,,,,,,,
n,mau,Maung,,,,,,"Bybee et al. 1994: 82, 331",,i,i,i,,,,,,,,,,,
n,tgr,Tigré,,,,,,"Bybee et al. 1994: 82, 331",,i,i,i,,,,,,p;immediate future,,,,,
n,udm,Udmurt,,,,,,"Bybee et al. 1994: 82, 331",,i,i,,,,"i;remote the situation occurred long ago, in the distant past",,,,,,,,
n,wor,Worora,,,,,,"Bybee et al. 1994: 82, 331",,i,,,,,,,,,,,,,
n,gug,Gugada,,,,,,"Bybee et al. 1994: 82, 331,",,i,,,,,,,,,,,,,
n,bar,Bari,,,,,,"Bybee et al. 1994: 82, 332",,i,u,p,,,,,,,,,,,
n,blc,Baluchi,,,,,,"Bybee et al. 1994: 82, 332",,i,,,,,"i; remote the situation occurred long ago, in the distant past",,,,,,,,
n,but,Buriat,,,,,,"Bybee et al. 1994: 82, 332",,i,i,,,,,,,,,,,,
n,knr,Kanuri,,,,,,"Bybee et al. 1994: 82, 332",,i,,,,,,,,,,,,,
n,mai,Maithili,,,,,,"Bybee et al. 1994: 82, 332",,i,p,,,,,,,,,,,,
n,raw,Rawang,,,,,,"Bybee et al. 1994: 82, 332",,i,,,,,,,,,,,,,
n,tga,Tangga,,,,,,"Bybee et al. 1994: 82, 332",,p,,,,,,,,,,,,,
n,tne,Temne,,,,,,"Bybee et al. 1994: 82, 332",,i,i,,,,,,,,,,,,
n,tpi,Tok Pisin,,,,,,"Bybee et al. 1994: 82, 332",,p,,p,,,,,,,,,,,
n,zun,Zuni,,,,,,"Bybee et al. 1994: 82, 332",,i,i,i,,,,,,,,,,,
n,ruk,Rukai (Tanan),,,,,,"Bybee et al. 1994: 82, 332,",,i,u,,,,,,,,,,,,
n,tuc,Tucano,,,,,,Bybee et al. 1994: 99,,,,i,i; immediate the situation occurred i the recent or immediate past,,"i; remote the situation occurred long ago, in the distant past",,,i;immediate future,,,,,
n,cbo,Chácobo,,,,,,"Bybee et al. 1994: 99, 334",,,i,,i; hodiernal the situation occurred on the same day as the speech event,"i; hesternal the situation occurred yesterday, or on the day preceding the speech event","i;remote the situation occurred long ago, in the distant past",,,,,,,,
n,coc,Cocama,,,,,,"Bybee et al. 1994: 99, 334",,,,p,i; hodiernal the situation occurred on the same day as the speech event,i; pre-hodiernal the situation occurred before the today of the speech event,"i;remote the situation occurred long ago, in the distant past",,,,,,,,
n,nim,Nimboran,,,,,,"Bybee et al. 1994: 99, 334",,,i,,i; hodiernal the situation occurred on the same day as the speech event,i; pre-hodiernal the situation occurred before the today of the speech event,"i;remote the situation occurred long ago, in the distant past",,,,,,,,
n,ood,O&amp;#39;odham,,,,,,"Bybee et al. 1994: 99, 334",,,,,,,"i; remote the situation occurred long ago, in the distant past",,,,,,,,
n,sla,Slave,,,,,,"Bybee et al. 1994: 99, 334",,,,p,i; immediate the situation occurred i the recent or immediate past,,,,,,,,,,
n,yes,Yessan-Mayo,,,,,,"Bybee et al. 1994: 99, 334",,,i,i,i; hodiernal the situation occurred on the same day as the speech event,i; pre-hodiernal the situation occurred before the today of the speech event,,,,,,,,,
n,sup,Supyire,,,,,,Carlson 1994: 329-334,,,u,,i; if it happened today,,i; remote if it happened long ago,,,,,,,,
n,qim,Quechua (Imbabura),,,,,,Cole 1982: 144,,i,i,i,,,,,,,,,,,
n,awp,Awa Pit,,,,,,Curnow 1997: 176,,i,,,,,,,,,,,,,
n,heb,Hebrew (Modern),,,,,,Dahl 1985: 114,,i,i,i,,,,,,,,,,,
n,sun,Sundanese,,,,,,Dahl 1985: 139,,p,,,,,,,,,,,,,
n,bej,Beja,,,,,,Dahl 1985: 154-155,,i,i,p,,,,,,,,,,,
n,atu,Arabic (Tunisian),,,,,,Dahl 1985: 155,,p,,,,,,,,,,,,,
n,amh,Amharic,,,,,,Dahl 1985: 156,,i,i,,,,,,,,,,,,
n,mlt,Maltese,,,,,,Dahl 1985: 156,,p,,p,,,,,,,,,,,
n,tig,Tigrinya,,,,,,Dahl 1985: 156,,i,i,i,,,,,,,,,,,
n,tur,Turkish,,,,,,Dahl 1985: 157,,i,,i,,,,,,,,,,,
n,jpn,Japanese,,,,,,Dahl 1985: 158,,,i,,,,,,,,,,,,
n,qco,Quechua (Cochabamba),,,,,,Dahl 1985: 158,,i,,i,,,,,,,,,,,
n,alw,Alawa,,,,,,Dahl 1985: 159,,i,i,i,,,,,,,,,,,
n,bnj,Bandjalang,,,,,,Dahl 1985: 159,,i,i,i,,,,,,,,,,,
n,gua,Guaraní,,,,,,Dahl 1985: 159,,i,,i,,,,,,,,,,,
n,aze,Azerbaijani,,,,,,Dahl 1985: 159-160,,i,i,i,,,,,,,,,,,
n,ceb,Cebuano,,,,,,Dahl 1985: 160,,,,,,,,,,,,,,,
n,ind,Indonesian,,,,,,Dahl 1985: 160,,,,p,,,,,,,,,,,
n,jav,Javanese,,,,,,Dahl 1985: 161,,,,p,,,,,,,,,,,
n,haw,Hawaiian,,,,,,Dahl 1985: 162-163,,,p,,,,,,,,,,,,
n,mao,Maori,,,,,,Dahl 1985: 163,,p,,,,,,,,,,,,,
n,geo,Georgian,,,,,,Dahl 1985: 164,,i,i,i,,,,,,,,,,,
n,grw,Greenlandic (West),,,,,,Dahl 1985: 165,,,,i,,,,,,,,,,,
n,tml,Tamil,,,,,,Dahl 1985: 165-166,,i,i,i,,,,,,,,,,,
n,afr,Afrikaans,,,,,,Dahl 1985: 166,,i,,p,,,,,,,,,,,
n,eng,English,,,,,,Dahl 1985: 166,,i,i,p,,,,,,,,,,,
n,ger,German,,,,,,Dahl 1985: 166,,i,i,p,,,,,,,,,,,
n,kfc,Kriol (Fitzroy Crossing),,,,,,Dahl 1985: 166,,p,,p,,,,,,,,,,,
n,swe,Swedish,,,,,,Dahl 1985: 166,,i,i,i,,,,,,,,,,,
n,ben,Bengali,,,,,,Dahl 1985: 167,,i,i,i,,,,,,,,,,,
n,kji,Kurmanji,,,,,,Dahl 1985: 168,,i,i,i,,,,,,,,,,,
n,pan,Panjabi,,,,,,Dahl 1985: 168,,i,i,i,,,,,,,,,,,
n,prs,Persian,,,,,,Dahl 1985: 168,,i,i,p,,,,,,,,,,,
n,hin,Hindi,,,,,,Dahl 1985: 168-169,,i,i,i,,,,,,,,,,,
n,grk,Greek (Modern),,,,,,Dahl 1985: 169,,i,i,p,,,,,,,,,,,
n,fre,French,,,,,,Dahl 1985: 170,,i,i,i,,,,,,,,,,,
n,spa,Spanish,,,,,,Dahl 1985: 171,,i,i,i,p; Immediate past,,,,,,,,,,
n,por,Portuguese,,,,,,Dahl 1985: 171-172,,i,i,i,,,,,,,,,,,
n,rom,Romanian,,,,,,Dahl 1985: 171-172,,i,i,p,,,,,,,,,,,
n,bul,Bulgarian,,,,,,Dahl 1985: 172,,i,i,p,,,,,,,,,,,
n,rus,Russian,,,,,,Dahl 1985: 172,,i,i,p,,,,,,,,,,,
n,ond,Oneida,,,,,,Dahl 1985: 173,,,,i,,,,,,,,,,,
n,ses,Sesotho,,,,,,Dahl 1985: 173,,,i,p,i; Hodiernal,p; Pre-hodiernal,,,,,,,,,
n,snc,Seneca,,,,,,Dahl 1985: 173,,,,i,,,,,,,,,i,,
n,kmu,Khmu&amp;#39;,,,,,,Dahl 1985: 174,,,,p,,,,,,,,,,,
n,tha,Thai,,,,,,Dahl 1985: 174,,,,p,,,,,,,,,,,
n,kik,Kikuyu,,,,,,Dahl 1985: 175,,,i,,i; hesternal,,i; remote past,,,i; Hodiernal,,,,,
n,zul,Zulu,,,,,,Dahl 1985: 175,,,i,,,,,,,i; Hodiernal,i; post-hodiernal,,,,
n,tny,Tenyer,,,,,,Dahl 1985: 177,,p,p,p,,,,,,,,,,,
n,ise,Isekiri,,,,,,Dahl 1985: 178,,,,p,,,,,,,,,,,
n,akn,Akan,,,,,,Dahl 1985: 179,,p,u,i,,,,,,,,,,,
n,yor,Yoruba,,,,,,Dahl 1985: 179,,,,p,,,,,,,,,,,
n,mnd,Mandarin,,,,,,Dahl 1985: 180,,,,p,,,,,,,,,,,
n,wlf,Wolof,,,,,,Dahl 1985: 180,,i,,p,,,,,,,,,,,
n,fin,Finnish,,,,,,Dahl 1985: 181,,i,i,,,,,,,,,,,,
n,hun,Hungarian,,,,,,Dahl 1985: 181,,i,i,i,,,,,,,,,,,
n,yaq,Yaqui,,,,,,Dedrick and Casad 1999: 318,,i,,,,,,,,,,,,,
n,mrt,Martuthunira,,,,,,Dench 1995: 144,,i,,,,,,,,,,,,,
n,hix,Hixkaryana,,,,,,Derbyshire 1979: 138-139,,,,,i;immediate past same day or previous night,"i;recent past previous day or a few months ago (this is the norm but it is relative to the total situation, and sometimes an event of only a few weeks ago will be expressed with the distant past suffix)",i;distant past ,,,,,i,,,
n,fij,Fijian,,,,,,Dixon 1988: 73,,i,,,,,,,,,,,,,
n,ngi,Ngiyambaa,,,,,,Donaldson 1980: 160,,i,i,,,,,,,,,,,,
n,rap,Rapanui,,,,,,Du Feu 1996: 156,,i,,i,,,,,,,,i,,,
n,aeg,Arabic (Egyptian),,,,,,Eisele 1999,,i,,,,,,,,,,,,,
n,kay,Kayardild,,,,,,Evans 1995,,,,i,,,,,,,,,i,,
n,war,Wari&amp;#39;,,,,,,Everett and Kern 1997,,,,i,,,,,,,,,u,,
n,apu,Apurinã,,,,,,Facundes 2000: 517,,,,i,,,,,,,,,i,,
n,ram,Rama,,,,,,Grinevald n.d.,,i,,,,,,,,,,,,,
n,kho,Khoekhoe,,,,,,Hagman 1977: 64,,,i,i,i;recent past today or yesterday,,i;remote past,,,,,,,,
n,zqc,Zoque (Copainalá),,,,,,Harrison et al. 1981: 92,,i,,,,,,,,,,,,,
n,lez,Lezgian,,,,,,Haspelmath 1993: 146,,i,,,,,,,,,,,,,
n,grb,Grebo,,,,,,Innes 1966: 54-87,,,,,,i; yesterday,i; before yesterday,,,i;tomorrow,i; after tomorrow,,,,
n,koa,Koasati,,,,,,Kimball 1991: 203,,,,,i; very recent past,i; several hours to several years ago,i; many years ago,,,,,,,,
n,wly,Wolaytta,,,,,,Lamberti and Sottile 1997,,i,i,i,,,,,,,,,,,
n,kor,Korean,,,,,,Lee 1991: 225,,i,,,,,,,,,,,,,
n,yko,Yukaghir (Kolyma),,,,,,Maslova 1999,,,,i,,,,,,,,,u,,
n,goo,Gooniyandi,,,,,,McGregor 1990: 20,,i,i,i,,,,,,,,,,,
n,myi,Mangarrayi,,,,,,Merlan 1982: 61,,i,i,,,,,,,,,,,,
n,dag,Daga,,,,,,Murane 1974: 53,,i,,,,,,,,,,,,,
n,eve,Evenki,,,,,,Nedjalkov 1997: 235,,i,i,i,,i; recent past,,,,i; immediate future,,,,,
n,arm,Armenian (Eastern),,,,,,No source,Dun-Tragut 2009,i,i,i,,,,,,,,,,,
n,avo,Avokaya,,,,,,No source,,i,,,,,,,,,,,,,
n,did,Didinga,,,,,,No source,Lohitare et al. 2012,i,i,,,,,,,,,,,,
n,ins,Inuktitut (Salluit),,,,,,No source,Hayashi and Spreng 2005,i,u,,,,,,,,,,,,
n,lat,Latvian,,,,,,No source,Hewson 1887,i,i,i,,,,,,,,,,,
n,mak,Makah,,,,,,No source,Davidson 2002,i,,i,,,,,,,,,u,,
n,mtg,Montagnais,,,,,,No source,Drapeau 2014,i,u,i,,,,,,,,,,,
n,som,Somali,,,,,,No source,Saeed 1997,i,i,i,,,,,,,,,,,
n,wch,Wichí,,,,,,No source,Wdzenczny WP22,,u,i,i; earlier today,i; yesterday,i; long time ago remote past,,i; a moment ago,,,,,,
n,yct,Yucatec,,,,,,No source,Bohnemeyer 2004 i.a.,,,,,,,,,,,,,,
n,orh,Oromo (Harar),,,,,,Owens 1985: 73,,i,,,,,,,,,,,,,
n,niv,Nivkh,,,,,,Panfilov 1962,Pevnov 2009,,,i,,,,,,,,,i,,
n,wra,Warao,,,,,,Romero-Figueroa 1997: 95,,i,,,,,,,,,,i,,,
n,wic,Wichita,,,,,,Rood 1976,,i,u,i,,,,,,,,,,,
n,nen,Nenets,,,,,,Salminen 1993-99,,i,,,,,,,,,,,,,
n,dio,Diola-Fogny,,,,,,Sapir 1965: 30-35,,i,,i,u; indicates a recent past or a present,,i; emphasizes the historicness of the act,,,,,,,,
n,imo,Imonda,,,,,,Seiler 1985,,i,i,,,,,,,,,i,,,
n,chk,Chukchi,,,,,,Speena 1991,,i,i,i,,,,,,,,,,,
n,knd,Kannada,,,,,,Sridhar 1990: 219,,i,i,i,,,,,,,,,,,
n,bag,Bagirmi,,,,,,Stevenson 1969,,,,,,,,,,,,,,,
n,kha,Khalkha,,,,,,Svantesson 1991,,i,,,,,,,,,,,,,
n,ice,Icelandic,,,,,,Svenonius,,i,i,p,,,,,,,,,,,
n,cha,Chamorro,,,,,,Topping 1973,,,,p,,,,,,,,,p,,
n,hwc,Hawaiian Creole,,,,,,Velupillai 2003,,i,i,i,,,,,,,,,,,
n,asm,Asmat,,,,,,Voorhoeve 1965: 98,,,,,,i; mediate past the period which begins yesterday and goes back as far as the generations still alive can remmeber,"i; ultimate past the period covering that part of the day which is prior to the speech event, as well as the distant past which is only known from tradition",,,,,,,,
n,ewe,Ewe,,,,,,Warburton et al. 1968,Ameka 1991,,p,i,,,,,,,,,,,
y,swa,Swahili,,,,,,Lindfors 2003,,i,i,i,,,,,,,,,,,
y,snm,Sanuma,,,,,,Borgman 1990: 167,,2,,,,,,,,,,,,,
y,dni,Dani (Lower Grand Valley),,,,,,Bromley 1981: 61-65,,2,,,,,,,,,,,,,
y,lkt,Lakhota,,,,,,Buechel 1939,,n,,,,,,,,,,,,,
y,cuu,Chuukese,,,,,,Bybee et al. 1994,,n,,,,,,,,,,,,,
y,egn,Engenni,,,,,,Bybee et al. 1994,,n,,,,,,,,,,,,,
n,grf,Garífuna,,,,,,Bybee et al. 1994,supplmented with Larsen 2015,,,,,,,,,,,,,,
y,krk,Karok,,,,,,Bybee et al. 1994,supplement with Maier 2016,n,,,,,,,,,,,,,
n,lah,Lahu,,,,,,Bybee et al. 1994,supplemented with Mattisoff 1973,,,,,,,,,,,,,,
n,lai,Lai,,,,,,Bybee et al. 1994,supplemented with Kavitskaya 1997,,u,p,,,,,,,,,,,
y,lao,Lao,,,,,,Bybee et al. 1994,,n,,,,,,,,,,,,,
n,mtu,Motu,,,,,,Bybee et al. 1994,Supplemented with Jones 2011,,,,,,,,,,,,,,
y,nak,Nakanai,,,,,,Bybee et al. 1994,,n,,,,,,,,,,,,,
n,nca,Nicobarese (Car),,,,,,Bybee et al. 1994,Supplemented with Johnston 1980,,,,,,,,,,,,,,
n,ngm,Ngambay,,,,,,Bybee et al. 1994,Supplemented with Melick and Moeller 2010,,,,,,,,,,,,,,
y,plg,Palaung,,,,,,Bybee et al. 1994,,n,,,,,,,,,,,,,
y,pnn,Pangasinan,,,,,,Bybee et al. 1994,,n,,,,,,,,,,,,,
y,shu,Shuswap,,,,,,Bybee et al. 1994,,n,,,,,,,,,,,,,
y,tug,Tuareg (Ahaggar),,,,,,Bybee et al. 1994,,n,,,,,,,,,,,,,
